Action_Label,hiya_down
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,480.0,533.3
1,515.0,533.3333333333334
2,546.0,533.3333333333334
3,520.0,533.3
4,480.0,533.4
5,478.0,533.4
6,512.0,533.3333333333334
7,545.0,533.3333333333334
8,524.0,533.4
9,480.0,533.5
10,478.0,533.6333333333333
11,512.0,533.5666666666667
12,543.0,533.5333333333333
13,520.0,533.5666666666667
14,482.0,533.6333333333333
15,482.0,533.7333333333333
16,515.0,533.6333333333333
17,546.0,533.5333333333333
18,524.0,533.5666666666667
19,484.0,533.5
20,481.0,533.4666666666667
21,514.0,533.5
22,550.0,533.6666666666666
23,527.0,533.8666666666667
24,487.0,533.6666666666666
25,483.0,533.4666666666667
26,515.0,533.5
27,549.0,533.6333333333333
28,528.0,533.8666666666667
29,483.0,533.8333333333334
30,480.0,533.8333333333334
31,514.0,533.8
32,549.0,533.9
33,527.0,534.1333333333333
34,486.0,533.9333333333333
35,481.0,533.8333333333334
36,514.0,533.9
37,549.0,534.0333333333333
38,525.0,534.0666666666667
39,481.0,534.0333333333333
40,479.0,534.0
41,517.0,534.1666666666666
42,551.0,534.4333333333333
43,527.0,534.6666666666666
44,482.0,534.6666666666666
45,485.0,534.5666666666667
46,516.0,534.6
47,549.0,534.7
48,529.0,534.8666666666667
49,486.0,534.8
50,481.0,534.8
51,514.0,534.8
52,548.0,534.7333333333333
53,525.0,534.6666666666666
54,483.0,534.8
55,481.0,534.8666666666667
56,516.0,534.9
57,549.0,534.9
58,526.0,534.8333333333334
59,485.0,534.7666666666667
60,482.0,534.7
61,513.0,534.6666666666666
62,548.0,534.6333333333333
63,527.0,534.6333333333333
64,488.0,534.5666666666667
65,484.0,534.4666666666667
66,516.0,534.5333333333333
67,546.0,534.4333333333333
68,525.0,534.4333333333333
69,484.0,534.3333333333334
70,481.0,534.2666666666667
71,515.0,534.2
72,549.0,534.1333333333333
73,528.0,534.1666666666666
74,484.0,534.1
75,481.0,534.2333333333333
76,513.0,534.1333333333333
77,548.0,534.1
78,527.0,534.0333333333333
79,482.0,534.1666666666666
80,480.0,534.2
81,512.0,534.1333333333333
82,546.0,534.0666666666667
83,524.0,534.0333333333333
84,486.0,533.9333333333333
85,485.0,533.8
86,520.0,533.9333333333333
87,551.0,534.0
88,527.0,534.0333333333333
89,486.0,534.0
90,483.0,533.9666666666667
91,512.0,533.9333333333333
92,545.0,533.8333333333334
93,528.0,533.8666666666667
94,488.0,533.8666666666667
95,483.0,533.9
96,515.0,533.8666666666667
97,547.0,533.9
98,524.0,533.8666666666667
99,485.0,533.8333333333334
100,481.0,533.8333333333334
101,513.0,533.7666666666667
102,548.0,533.7333333333333
103,523.0,533.5666666666667
104,482.0,533.6333333333333
105,481.0,533.6333333333333
106,514.0,533.6666666666666
107,547.0,533.6333333333333
108,531.0,533.7666666666667
109,491.0,533.4666666666667
110,483.0,533.3666666666667
111,513.0,533.4
112,546.0,533.4
113,527.0,533.5
114,485.0,533.5333333333333
115,478.0,533.7666666666667
116,512.0,533.5
117,548.0,533.4
118,529.0,533.4666666666667
119,488.0,533.4
120,482.0,533.4333333333333
121,514.0,533.5
122,547.0,533.5666666666667
123,524.0,533.4333333333333
124,481.0,533.6666666666666
125,479.0,533.8
126,515.0,533.8
