Action_Label,hiya_down
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,539.0,527.3
1,513.0,527.3
2,494.0,527.2
3,495.0,527.2333333333333
4,524.0,527.2333333333333
5,534.0,527.1333333333333
6,508.0,527.1666666666666
7,489.0,527.2666666666667
8,496.0,527.3
9,523.0,527.2666666666667
10,529.0,527.1666666666666
11,508.0,527.0666666666667
12,493.0,526.9666666666667
13,500.0,526.9
14,525.0,526.9666666666667
15,536.0,527.0333333333333
16,507.0,527.1333333333333
17,483.0,527.3666666666667
18,494.0,527.3
19,522.0,527.3333333333334
20,535.0,527.3666666666667
21,510.0,527.2666666666667
22,493.0,527.0333333333333
23,499.0,526.9666666666667
24,526.0,527.1
25,536.0,527.0666666666667
26,509.0,527.0333333333333
27,490.0,527.0333333333333
28,495.0,527.1
29,519.0,526.8666666666667
30,533.0,526.6666666666666
31,506.0,526.8333333333334
32,486.0,527.1
33,499.0,526.9666666666667
34,525.0,527.0
35,532.0,526.9333333333333
36,513.0,526.8333333333334
37,493.0,526.7
38,495.0,526.7333333333333
39,521.0,526.6666666666666
40,533.0,526.8
41,513.0,526.7
42,491.0,526.7666666666667
43,493.0,527.0
44,517.0,526.7333333333333
45,533.0,526.6333333333333
46,509.0,526.5666666666667
47,487.0,526.4333333333333
48,492.0,526.5
49,522.0,526.5
50,537.0,526.5666666666667
51,508.0,526.6333333333333
52,489.0,526.7666666666667
53,497.0,526.8333333333334
54,524.0,526.7666666666667
55,533.0,526.6666666666666
56,512.0,526.5666666666667
57,490.0,526.5666666666667
58,491.0,526.7
59,527.0,526.9666666666667
60,540.0,527.2
61,510.0,527.0666666666667
62,490.0,526.9333333333333
63,492.0,527.1666666666666
64,521.0,527.0333333333333
65,537.0,527.2
66,510.0,527.2333333333333
67,490.0,527.3333333333334
68,496.0,527.3
69,522.0,527.3333333333334
70,535.0,527.4
71,509.0,527.4666666666667
72,491.0,527.4666666666667
73,493.0,527.4666666666667
74,519.0,527.5333333333333
75,530.0,527.4333333333333
76,510.0,527.4
77,490.0,527.3
78,494.0,527.2333333333333
79,521.0,527.2
80,538.0,527.2333333333333
81,512.0,527.1
82,490.0,527.0666666666667
83,494.0,527.1666666666666
84,521.0,527.0666666666667
85,534.0,527.1
86,509.0,527.2
87,490.0,527.2
88,492.0,527.1666666666666
89,518.0,526.8666666666667
90,535.0,526.7
91,512.0,526.6333333333333
92,494.0,526.5
93,498.0,526.3
94,525.0,526.4333333333333
95,537.0,526.4333333333333
96,508.0,526.5
97,491.0,526.4666666666667
98,498.0,526.4
99,521.0,526.3666666666667
100,534.0,526.3333333333334
101,509.0,526.3333333333334
102,490.0,526.3666666666667
103,497.0,526.2333333333333
104,524.0,526.4
105,533.0,526.5
106,510.0,526.5
107,493.0,526.4
108,497.0,526.3
109,522.0,526.3333333333334
110,534.0,526.2
111,507.0,526.3666666666667
112,492.0,526.3
113,497.0,526.2
114,526.0,526.3666666666667
115,538.0,526.5
116,512.0,526.4
117,493.0,526.3
118,497.0,526.1333333333333
119,521.0,526.2333333333333
120,532.0,526.1333333333333
121,517.0,526.3
122,492.0,526.3666666666667
123,496.0,526.4333333333333
124,517.0,526.1666666666666
125,532.0,526.0
126,512.0,525.8666666666667
127,495.0,525.7333333333333
128,500.0,525.6666666666666
129,524.0,525.7666666666667
130,539.0,525.9333333333333
131,512.0,525.8333333333334
132,492.0,525.7666666666667
133,496.0,525.8
134,524.0,525.8
135,534.0,525.8333333333334
136,513.0,525.8
137,493.0,525.8
138,496.0,525.8333333333334
139,524.0,525.9
140,533.0,525.8666666666667
141,508.0,525.8333333333334
142,491.0,525.8666666666667
143,497.0,525.8666666666667
144,525.0,525.8333333333334
145,532.0,525.6333333333333
146,509.0,525.7333333333333
147,489.0,525.8666666666667
148,494.0,525.9666666666667
149,527.0,526.1666666666666
150,538.0,526.3666666666667
151,514.0,526.2666666666667
152,495.0,526.1666666666666
153,494.0,526.2333333333333
154,523.0,526.4333333333333
155,538.0,526.6333333333333
156,515.0,526.7333333333333
157,492.0,526.8333333333334
158,493.0,527.0666666666667
159,525.0,527.1
160,541.0,527.1666666666666
161,515.0,527.2666666666667
162,488.0,527.4
163,493.0,527.5
164,521.0,527.4
165,534.0,527.4
166,513.0,527.4
167,495.0,527.3333333333334
168,496.0,527.3333333333334
169,521.0,527.2333333333333
170,529.0,527.1
171,505.0,527.2
172,488.0,527.3
173,493.0,527.4333333333333
174,521.0,527.3
175,535.0,527.4
176,511.0,527.3333333333334
177,492.0,527.2333333333333
178,496.0,527.1666666666666
179,525.0,527.1
180,538.0,527.1
181,510.0,527.1
182,492.0,527.2
183,494.0,527.2
184,521.0,527.1333333333333
185,536.0,527.0666666666667
186,511.0,527.0
187,493.0,526.9666666666667
188,496.0,526.8666666666667
189,520.0,526.7
190,533.0,526.4333333333333
191,514.0,526.4
192,488.0,526.4
193,490.0,526.5
194,516.0,526.3333333333334
195,521.0,525.9
196,511.0,525.9
197,497.0,525.8333333333334
198,496.0,525.8333333333334
199,522.0,525.8666666666667
200,536.0,526.1
201,514.0,525.9333333333333
202,494.0,525.7333333333333
203,497.0,525.6
204,521.0,525.6
205,534.0,525.5666666666667
206,514.0,525.6
207,495.0,525.5
208,494.0,525.5666666666667
209,524.0,525.5333333333333
210,538.0,525.5333333333333
211,513.0,525.5
212,493.0,525.4666666666667
213,497.0,525.3666666666667
214,522.0,525.4
215,538.0,525.4666666666667
216,515.0,525.5333333333333
217,498.0,525.3666666666667
218,501.0,525.2
219,524.0,525.3333333333334
220,535.0,525.4
221,509.0,525.4333333333333
222,490.0,525.3666666666667
223,495.0,525.2
224,523.0,525.4333333333333
225,535.0,525.9
226,511.0,525.9
227,490.0,526.1333333333333
228,495.0,526.1666666666666
229,522.0,526.1666666666666
230,538.0,526.2333333333333
231,516.0,526.3
232,492.0,526.3666666666667
233,492.0,526.5333333333333
234,522.0,526.5666666666667
235,537.0,526.6666666666666
236,510.0,526.6666666666666
237,491.0,526.8
238,493.0,526.8333333333334
239,518.0,526.6333333333333
240,532.0,526.4333333333333
241,510.0,526.4666666666667
242,490.0,526.5666666666667
243,498.0,526.5333333333333
244,526.0,526.6666666666666
245,538.0,526.6666666666666
246,513.0,526.6
247,492.0,526.8
248,495.0,527.0
249,523.0,526.9666666666667
250,535.0,526.9666666666667
251,512.0,526.8666666666667
252,499.0,526.5666666666667
253,497.0,526.5
254,522.0,526.4666666666667
255,540.0,526.6333333333333
256,512.0,526.6
257,493.0,526.5
258,496.0,526.4666666666667
259,522.0,526.4666666666667
260,527.0,526.1
261,510.0,526.0333333333333
262,493.0,526.0
263,495.0,525.9
264,524.0,525.9666666666667
265,540.0,526.0666666666667
266,512.0,526.0
267,485.0,526.2
268,491.0,526.2666666666667
269,527.0,526.5666666666667
270,540.0,526.8333333333334
271,510.0,526.8333333333334
272,487.0,526.9333333333333
273,492.0,527.1333333333333
274,524.0,527.0666666666667
275,534.0,526.9333333333333
276,514.0,526.9666666666667
277,488.0,527.1
278,490.0,527.2666666666667
279,525.0,527.3333333333334
280,540.0,527.5
281,515.0,527.6
282,492.0,527.8333333333334
283,498.0,527.8
284,526.0,527.9333333333333
285,541.0,527.9666666666667
286,513.0,528.0
287,489.0,528.1333333333333
288,495.0,528.1666666666666
289,523.0,528.2
290,531.0,528.3333333333334
291,506.0,528.4666666666667
292,493.0,528.4666666666667
293,495.0,528.4666666666667
294,519.0,528.3
295,529.0,527.9333333333333
296,503.0,528.2333333333333
297,486.0,528.2
298,493.0,528.1333333333333
299,524.0,528.0333333333333
300,541.0,528.0666666666667
301,515.0,528.1
302,490.0,528.0
303,493.0,527.9666666666667
304,523.0,527.9333333333333
305,539.0,528.1
306,511.0,528.0666666666667
307,483.0,528.2333333333333
308,498.0,527.9666666666667
309,529.0,528.1
310,543.0,528.2
311,511.0,528.1333333333333
312,486.0,528.3333333333334
313,474.0,529.1333333333333
314,458.0,530.4666666666667
315,499.0,529.9333333333333
316,513.0,529.9333333333333
317,456.0,531.0333333333333
318,420.0,533.5333333333333
319,417.0,536.3333333333334
320,440.0,538.1
321,461.0,539.6
322,419.0,542.0666666666667
323,339.0,547.2666666666667
324,311.0,553.7333333333333
325,435.0,555.7333333333333
326,441.0,557.8
327,357.0,562.1
328,312.0,568.1333333333333
329,362.0,572.7333333333333
330,504.0,572.0333333333333
331,576.0,574.0666666666667
332,448.0,575.4666666666667
333,494.0,575.4333333333333
334,554.0,576.4666666666667
335,521.0,575.8666666666667
336,510.0,575.9
337,537.0,575.7666666666667
338,517.0,575.4666666666667
339,575.0,577.0
340,625.0,579.7333333333333
341,605.0,582.8
342,528.0,582.4666666666667
343,521.0,581.5
344,659.0,584.6
345,679.0,589.7333333333333
346,600.0,592.6333333333333
347,580.0,593.0333333333333
348,602.0,592.9666666666667
349,644.0,594.2
350,633.0,595.8333333333334
351,607.0,597.3
352,574.0,596.2666666666667
353,527.0,591.0
354,551.0,585.6
355,588.0,585.5666666666666
356,535.0,583.9666666666667
357,465.0,580.3666666666667
358,492.0,574.3666666666667
359,506.0,569.5666666666667
360,486.0,570.1666666666666
361,447.0,570.2
362,483.0,569.0333333333333
363,467.0,569.9333333333333
364,455.0,570.4333333333333
365,391.0,574.1666666666666
366,439.0,576.5333333333333
367,425.0,578.6
368,383.0,582.7333333333333
369,396.0,584.5
370,382.0,585.0666666666666
371,410.0,585.3666666666667
372,468.0,586.3
373,462.0,587.6666666666666
374,470.0,584.1666666666666
375,482.0,579.6
376,496.0,577.2
377,476.0,576.1333333333333
378,483.0,574.1
379,516.0,569.8333333333334
380,506.0,566.0
381,494.0,563.4333333333333
382,479.0,562.4666666666667
383,469.0,563.4
384,500.0,562.5
385,506.0,560.1666666666666
386,494.0,560.0
387,486.0,559.3
388,495.0,559.2
389,505.0,559.2333333333333
390,478.0,559.5
391,450.0,559.4
392,496.0,558.9666666666667
393,504.0,557.7333333333333
394,495.0,556.4
395,531.0,553.0
396,522.0,550.9
397,498.0,548.4666666666667
398,494.0,544.7666666666667
399,528.0,541.4333333333333
400,542.0,538.1
401,516.0,534.8333333333334
402,516.0,533.5
403,518.0,532.0333333333333
404,533.0,531.3333333333334
405,549.0,531.5666666666667
406,521.0,531.3333333333334
407,492.0,530.8
408,509.0,529.9333333333333
409,539.0,530.7
410,546.0,531.6333333333333
411,534.0,531.7666666666667
412,510.0,530.7333333333333
413,511.0,529.3333333333334
414,537.0,529.7666666666667
415,542.0,530.5666666666667
416,524.0,530.3666666666667
417,513.0,529.5333333333333
418,525.0,529.4
419,539.0,530.0666666666667
420,550.0,530.2
421,520.0,528.4
422,511.0,527.9
423,517.0,527.8
424,534.0,527.9666666666667
425,535.0,528.1
426,509.0,527.8666666666667
427,521.0,527.7
428,538.0,527.9666666666667
429,551.0,528.7333333333333
430,541.0,528.7
431,511.0,528.6
432,515.0,528.5666666666667
433,533.0,529.0666666666667
434,538.0,529.2333333333333
435,535.0,528.7666666666667
436,508.0,528.6
437,508.0,528.0666666666667
438,525.0,528.4
439,552.0,528.8333333333334
440,555.0,529.1333333333333
441,532.0,529.0666666666667
442,520.0,529.2666666666667
443,530.0,529.8333333333334
444,551.0,530.3
445,543.0,530.3333333333334
446,522.0,530.2666666666667
447,509.0,530.3333333333334
448,514.0,529.9666666666667
449,519.0,529.3
450,541.0,529.0
451,508.0,528.8666666666667
452,516.0,528.9666666666667
453,524.0,529.2
454,545.0,529.5666666666667
455,541.0,529.7666666666667
456,527.0,530.1666666666666
457,519.0,530.1
458,517.0,529.4
459,537.0,528.9333333333333
460,537.0,528.8
461,517.0,528.9333333333333
462,507.0,529.0
463,508.0,528.4333333333333
464,527.0,528.0666666666667
465,528.0,527.8333333333334
466,506.0,527.9
467,496.0,528.3
468,505.0,528.1
469,538.0,527.6333333333333
470,533.0,526.9
471,522.0,526.5666666666667
472,511.0,526.3333333333334
473,515.0,525.8333333333334
474,532.0,525.2
475,542.0,525.1666666666666
476,518.0,525.0333333333333
477,504.0,525.2
478,513.0,525.1666666666666
479,528.0,525.4666666666667
480,533.0,525.2
481,515.0,525.1666666666666
482,507.0,525.2
483,510.0,524.8666666666667
484,521.0,524.0666666666667
485,532.0,523.7666666666667
486,504.0,523.5333333333333
487,497.0,523.8
488,517.0,523.8
489,530.0,523.5666666666667
490,534.0,523.4666666666667
491,515.0,523.4
492,501.0,523.6
493,514.0,523.5333333333333
494,529.0,523.6
495,524.0,523.4666666666667
496,501.0,523.6333333333333
497,497.0,523.6
498,518.0,523.5666666666667
499,536.0,523.5
500,535.0,523.5666666666667
501,505.0,523.4666666666667
502,490.0,524.1666666666666
503,505.0,524.3
504,523.0,524.0
505,519.0,523.2333333333333
506,511.0,523.0666666666667
507,511.0,522.8333333333334
508,511.0,522.8333333333334
509,530.0,522.9
510,539.0,523.1
511,513.0,523.0333333333333
512,504.0,523.1333333333333
513,510.0,523.1333333333333
514,525.0,523.2666666666667
515,525.0,523.0333333333333
516,516.0,522.9
517,509.0,522.5
518,514.0,522.4
519,530.0,522.4
520,528.0,522.2
521,501.0,522.4666666666667
522,498.0,522.5666666666667
523,498.0,522.9666666666667
524,522.0,522.7333333333333
525,517.0,522.5
526,498.0,522.6
527,502.0,522.4333333333333
528,514.0,522.3
529,521.0,521.8
530,522.0,521.3666666666667
531,516.0,521.2666666666667
532,507.0,520.7
533,512.0,520.4666666666667
534,526.0,520.5666666666667
535,524.0,520.7333333333333
536,507.0,520.8666666666667
537,498.0,521.3
538,506.0,521.4666666666667
539,523.0,521.2333333333333
540,525.0,520.7666666666667
541,500.0,521.1333333333333
542,494.0,521.4666666666667
543,502.0,521.7333333333333
544,519.0,521.5333333333333
545,522.0,521.4333333333333
546,510.0,521.3666666666667
547,497.0,521.7666666666667
548,508.0,521.8333333333334
549,524.0,521.6333333333333
550,524.0,521.5
551,506.0,521.3333333333334
552,492.0,521.5333333333333
553,505.0,521.3
554,522.0,521.3
555,530.0,521.7333333333333
556,515.0,521.3666666666667
557,492.0,521.7
558,497.0,522.1333333333333
559,520.0,522.1
560,524.0,522.1666666666666
561,506.0,522.2333333333333
562,503.0,522.3666666666667
563,508.0,522.5
564,513.0,522.0666666666667
565,522.0,522.0
566,505.0,522.0666666666667
567,501.0,521.9666666666667
568,507.0,521.9333333333333
569,523.0,521.9333333333333
570,521.0,521.8
571,505.0,521.6333333333333
572,500.0,521.4333333333333
573,505.0,521.3333333333334
574,524.0,521.5
575,527.0,521.6666666666666
576,506.0,521.8
577,495.0,521.8666666666667
578,492.0,522.4
579,512.0,522.0
580,526.0,522.0666666666667
581,506.0,522.0666666666667
582,499.0,521.8333333333334
583,505.0,521.8333333333334
584,519.0,521.7333333333333
585,523.0,521.5
586,499.0,521.8333333333334
587,492.0,521.8333333333334
588,502.0,521.6666666666666
589,517.0,521.5666666666667
590,520.0,521.4333333333333
591,506.0,521.4333333333333
592,503.0,521.4333333333333
593,508.0,521.4333333333333
594,516.0,521.5333333333333
595,511.0,521.2333333333333
596,500.0,521.4
597,495.0,521.6
598,499.0,521.8666666666667
599,518.0,521.7
600,525.0,521.8333333333334
601,501.0,521.9666666666667
602,495.0,522.1333333333333
603,503.0,522.2
604,523.0,522.1666666666666
605,529.0,522.2333333333333
606,510.0,522.1
607,500.0,521.9333333333333
608,504.0,521.5333333333333
609,519.0,521.7666666666667
610,525.0,521.7333333333333
611,507.0,521.7
612,497.0,521.7666666666667
613,501.0,521.9
614,512.0,521.6666666666666
615,517.0,521.4666666666667
616,504.0,521.3
617,497.0,521.1333333333333
618,505.0,521.0333333333333
619,520.0,521.1333333333333
620,522.0,521.2
621,494.0,521.6
622,497.0,521.8
623,502.0,522.0
624,521.0,522.1666666666666
625,526.0,522.6
626,504.0,522.4666666666667
627,494.0,522.5
628,505.0,522.3
629,527.0,522.6
630,524.0,522.5666666666667
631,505.0,522.4333333333333
632,497.0,522.3666666666667
633,506.0,522.2666666666667
634,520.0,522.1666666666666
635,523.0,521.9666666666667
636,505.0,522.1333333333333
637,500.0,522.1333333333333
638,502.0,522.2
639,517.0,522.1333333333333
640,527.0,522.2
641,505.0,522.2666666666667
642,492.0,522.4333333333333
643,510.0,522.1333333333333
644,525.0,522.5666666666667
645,528.0,522.9333333333333
646,509.0,522.7666666666667
647,502.0,522.6
648,509.0,522.4666666666667
649,519.0,522.4333333333333
650,530.0,522.7
651,514.0,522.1666666666666
652,504.0,521.9333333333333
653,509.0,521.7
654,520.0,521.6666666666666
655,521.0,521.5
656,503.0,521.5333333333333
657,498.0,521.4
658,508.0,521.3
659,521.0,521.1
660,523.0,521.0666666666667
661,513.0,520.8666666666667
662,508.0,520.5
663,508.0,520.4333333333333
664,521.0,520.4666666666667
665,528.0,520.6333333333333
666,507.0,520.5666666666667
667,498.0,520.6333333333333
668,507.0,520.4666666666667
669,524.0,520.7
670,532.0,520.8666666666667
671,512.0,520.6333333333333
672,500.0,520.3666666666667
673,508.0,520.4333333333333
674,524.0,520.4
675,527.0,520.3666666666667
676,505.0,520.5
677,490.0,520.9
678,501.0,521.1666666666666
679,518.0,521.1333333333333
680,515.0,520.6333333333333
681,502.0,520.9
682,497.0,521.1333333333333
683,507.0,521.2
684,524.0,521.3333333333334
685,529.0,521.6
686,508.0,521.4333333333333
687,499.0,521.4
688,505.0,521.5
689,520.0,521.4666666666667
690,526.0,521.5666666666667
691,503.0,521.8333333333334
692,496.0,522.2333333333333
693,506.0,522.3
694,517.0,522.1666666666666
695,520.0,521.9
696,506.0,521.9333333333333
697,497.0,521.9666666666667
698,505.0,522.0333333333333
699,519.0,521.8666666666667
700,525.0,521.6333333333333
701,506.0,521.8333333333334
702,496.0,521.9666666666667
703,500.0,522.2333333333333
704,515.0,521.9333333333333
705,528.0,521.9666666666667
706,503.0,522.0333333333333
707,497.0,521.8
708,505.0,521.6666666666666
709,517.0,521.6333333333333
710,521.0,521.8333333333334
711,504.0,521.7666666666667
712,496.0,521.8
713,504.0,521.9
714,522.0,521.8333333333334
715,528.0,521.8
716,509.0,521.7666666666667
717,501.0,521.7
718,507.0,521.6333333333333
719,518.0,521.5666666666667
720,520.0,521.3666666666667
721,504.0,521.3333333333334
722,499.0,521.2333333333333
723,505.0,521.2666666666667
724,516.0,521.2333333333333
725,519.0,521.2
726,509.0,521.1
727,500.0,521.0
728,510.0,520.8333333333334
729,522.0,520.9333333333333
730,525.0,520.9333333333333
731,502.0,521.0666666666667
732,493.0,521.1666666666666
733,508.0,520.9
734,527.0,521.3
735,528.0,521.3
736,511.0,521.0333333333333
737,502.0,520.8666666666667
738,506.0,520.8333333333334
739,524.0,521.0666666666667
740,530.0,521.3666666666667
741,511.0,521.1333333333333
742,504.0,520.8666666666667
743,509.0,520.7
744,525.0,520.8
745,527.0,520.7666666666667
746,510.0,520.7333333333333
747,503.0,520.6666666666666
748,507.0,520.6666666666666
749,524.0,520.8666666666667
750,527.0,521.1
751,508.0,520.9666666666667
752,503.0,520.8333333333334
753,505.0,520.8333333333334
754,522.0,521.0333333333333
755,525.0,521.2333333333333
756,507.0,521.3
757,507.0,521.0666666666667
758,513.0,521.0333333333333
759,528.0,521.2333333333333
760,531.0,521.4333333333333
761,513.0,521.1333333333333
762,503.0,520.8
763,508.0,520.8
764,524.0,520.7
765,530.0,520.7666666666667
766,511.0,520.7666666666667
767,500.0,520.8333333333334
768,509.0,520.7333333333333
769,522.0,520.6666666666666
770,529.0,520.6333333333333
771,510.0,520.6666666666666
772,502.0,520.7333333333333
773,508.0,520.7666666666667
774,523.0,520.7
775,529.0,520.7666666666667
776,510.0,520.7666666666667
777,498.0,520.9333333333333
778,508.0,520.9
779,525.0,520.9333333333333
780,528.0,520.9666666666667
781,510.0,520.9
782,509.0,520.7
783,513.0,520.5
784,528.0,520.7
785,527.0,520.7666666666667
786,509.0,520.7
787,505.0,520.7666666666667
788,512.0,520.7333333333333
789,524.0,520.6
790,530.0,520.5666666666667
791,510.0,520.6
792,500.0,520.7
793,506.0,520.7666666666667
794,522.0,520.7
795,525.0,520.5333333333333
796,509.0,520.6
797,500.0,520.6
798,505.0,520.7333333333333
799,521.0,520.7
800,526.0,520.6
801,506.0,520.7333333333333
802,505.0,520.6333333333333
803,511.0,520.5333333333333
804,522.0,520.5
805,527.0,520.4333333333333
806,508.0,520.5
807,497.0,520.5333333333333
808,506.0,520.6
809,520.0,520.4333333333333
810,528.0,520.4333333333333
811,508.0,520.5
812,493.0,521.0333333333333
813,503.0,521.3
814,519.0,521.0
815,523.0,520.8666666666667
816,504.0,521.0333333333333
