Action_Label,hiya_down
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,531.0,541.3666666666667
1,477.0,541.3666666666667
2,472.0,541.3333333333334
3,511.0,541.2
4,551.0,540.8
5,518.0,540.1666666666666
6,470.0,540.5
7,467.0,540.6333333333333
8,517.0,540.6333333333333
9,561.0,540.6333333333333
10,531.0,540.6333333333333
11,475.0,540.7
12,468.0,540.9333333333333
13,514.0,540.8333333333334
14,553.0,540.7
15,528.0,540.7
16,476.0,540.7333333333333
17,467.0,540.8666666666667
18,512.0,540.6666666666666
19,557.0,540.5333333333333
20,531.0,540.5666666666667
21,482.0,540.3666666666667
22,473.0,540.3
23,516.0,540.2333333333333
24,556.0,540.2
25,528.0,540.2666666666667
26,478.0,540.1666666666666
27,470.0,540.2333333333333
28,518.0,540.2333333333333
29,560.0,540.2666666666667
30,529.0,540.2
31,475.0,540.2666666666667
32,469.0,540.3666666666667
33,514.0,540.4
34,559.0,540.6666666666666
35,526.0,540.9333333333333
36,475.0,540.7666666666667
37,475.0,540.5
38,520.0,540.6
39,559.0,540.5333333333333
40,530.0,540.5
41,475.0,540.5
42,470.0,540.4333333333333
43,517.0,540.5333333333333
44,559.0,540.7333333333333
45,531.0,540.8333333333334
46,480.0,540.7
47,469.0,540.6333333333333
48,515.0,540.7333333333333
49,557.0,540.7333333333333
50,527.0,540.6
51,473.0,540.9
52,465.0,541.1666666666666
53,518.0,541.2333333333333
54,564.0,541.5
55,527.0,541.4666666666667
56,475.0,541.5666666666667
57,471.0,541.5333333333333
58,519.0,541.5666666666667
59,559.0,541.5333333333333
60,529.0,541.5333333333333
61,477.0,541.4666666666667
62,471.0,541.4
63,520.0,541.6
64,564.0,541.7666666666667
65,532.0,541.9666666666667
66,477.0,541.9
67,473.0,541.9666666666667
68,524.0,542.1
69,568.0,542.4
70,528.0,542.3333333333334
71,471.0,542.4666666666667
72,469.0,542.5
73,524.0,542.7333333333333
74,562.0,542.8333333333334
75,527.0,542.7
76,473.0,542.9333333333333
77,468.0,542.9666666666667
78,522.0,543.2
79,562.0,543.3666666666667
80,528.0,543.4
