Action_Label,hiya_down
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,516.0,538.6
1,553.0,538.6
2,521.0,538.6666666666666
3,481.0,538.5333333333333
4,479.0,538.4666666666667
5,523.0,538.5333333333333
6,558.0,538.6
7,522.0,538.5
8,474.0,538.6
9,478.0,538.6333333333333
10,522.0,538.7666666666667
11,554.0,538.7666666666667
12,524.0,538.8666666666667
13,480.0,538.8333333333334
14,479.0,538.8666666666667
15,518.0,538.6333333333333
16,557.0,538.7333333333333
17,526.0,538.8
18,476.0,538.8666666666667
19,472.0,539.0666666666667
20,513.0,538.7666666666667
21,555.0,538.5666666666667
22,529.0,539.0333333333333
23,485.0,538.3
24,482.0,538.0333333333333
25,522.0,537.9333333333333
26,552.0,537.8666666666667
27,520.0,537.8333333333334
28,472.0,537.9333333333333
29,475.0,538.0
30,518.0,538.0666666666667
31,551.0,538.0
32,522.0,538.0333333333333
33,474.0,538.2666666666667
34,472.0,538.5
35,516.0,538.2666666666667
36,546.0,537.8666666666667
37,522.0,537.8666666666667
38,480.0,537.6666666666666
39,470.0,537.9333333333333
40,516.0,537.7333333333333
41,556.0,537.8
42,530.0,538.0
43,480.0,538.0
44,478.0,538.0333333333333
45,521.0,538.1333333333333
46,555.0,538.0666666666667
47,523.0,537.9666666666667
48,481.0,537.8
49,479.0,537.5666666666667
50,520.0,537.8
51,555.0,537.8
52,523.0,537.6
53,479.0,537.8
54,478.0,537.9333333333333
55,520.0,537.8666666666667
56,544.0,537.6
57,521.0,537.6333333333333
58,487.0,537.1333333333333
59,486.0,536.7666666666667
60,523.0,536.9333333333333
61,554.0,537.0333333333333
62,523.0,537.0666666666667
63,478.0,536.9333333333333
64,477.0,536.7666666666667
65,519.0,536.8666666666667
66,555.0,537.1666666666666
67,527.0,537.3333333333334
68,482.0,537.2666666666667
69,481.0,536.9
70,523.0,537.1333333333333
71,553.0,537.0333333333333
72,521.0,536.7333333333333
73,479.0,536.7666666666667
74,483.0,536.6
75,525.0,536.7333333333333
76,558.0,536.8333333333334
77,528.0,537.0
78,483.0,536.9333333333333
79,480.0,536.9
80,517.0,536.8
81,550.0,536.6333333333333
82,525.0,536.7
83,480.0,536.6666666666666
84,477.0,536.7
85,521.0,536.7333333333333
86,556.0,537.1333333333333
87,526.0,537.3
88,481.0,537.5
89,480.0,537.7
90,520.0,537.6
91,554.0,537.6
92,523.0,537.6
93,478.0,537.6
94,478.0,537.5666666666667
95,522.0,537.6666666666666
96,555.0,537.6666666666666
97,524.0,537.5666666666667
98,476.0,537.7666666666667
99,477.0,537.9
100,519.0,537.7666666666667
101,556.0,537.8666666666667
102,525.0,538.0
103,482.0,537.9
104,481.0,537.9666666666667
105,523.0,537.9
106,557.0,537.8666666666667
107,517.0,537.5
108,476.0,537.7333333333333
109,478.0,537.8
110,520.0,537.9
111,559.0,538.2
112,530.0,538.3666666666667
113,479.0,538.4
114,476.0,538.4333333333333
115,521.0,538.4333333333333
116,556.0,538.4333333333333
117,526.0,538.4333333333333
118,479.0,538.5
119,482.0,538.4333333333333
120,522.0,538.5
121,558.0,538.6333333333333
122,527.0,538.7666666666667
123,480.0,538.7
124,481.0,538.6
125,520.0,538.5333333333333
126,556.0,538.5666666666667
127,527.0,538.6666666666666
128,481.0,538.5
129,479.0,538.4333333333333
130,521.0,538.5
131,555.0,538.4666666666667
132,528.0,538.5666666666667
133,479.0,538.6666666666666
134,478.0,538.7666666666667
135,522.0,538.7333333333333
136,555.0,538.6666666666666
137,527.0,539.0
138,484.0,538.7333333333333
139,481.0,538.6333333333333
140,518.0,538.5666666666667
141,556.0,538.4666666666667
142,528.0,538.4
143,479.0,538.4
144,472.0,538.5333333333333
145,521.0,538.5333333333333
146,559.0,538.6333333333333
147,528.0,538.7
148,479.0,538.7
149,476.0,538.9
150,516.0,538.7
151,553.0,538.5333333333333
152,523.0,538.4
153,475.0,538.5666666666667
154,476.0,538.7333333333333
155,517.0,538.6333333333333
156,551.0,538.4666666666667
157,526.0,538.4333333333333
158,480.0,538.4666666666667
159,474.0,538.6333333333333
160,516.0,538.4666666666667
161,558.0,538.5666666666667
162,530.0,538.6333333333333
163,482.0,538.5333333333333
164,481.0,538.4333333333333
165,518.0,538.3
166,552.0,538.2
167,525.0,538.1333333333333
168,480.0,538.2666666666667
169,480.0,538.3
170,521.0,538.4
171,553.0,538.3
172,527.0,538.2666666666667
173,479.0,538.2666666666667
174,478.0,538.0666666666667
175,519.0,538.0
176,553.0,537.8
177,526.0,537.7333333333333
178,479.0,537.7333333333333
179,479.0,537.6333333333333
180,517.0,537.6666666666666
181,555.0,537.7333333333333
182,526.0,537.8333333333334
183,485.0,537.5
184,485.0,537.2
185,521.0,537.3333333333334
186,555.0,537.4666666666667
187,525.0,537.4333333333333
188,478.0,537.5
189,476.0,537.4333333333333
190,518.0,537.5
191,556.0,537.4333333333333
192,529.0,537.4
193,482.0,537.4
194,475.0,537.6
195,516.0,537.5333333333333
196,554.0,537.6
197,529.0,537.7333333333333
198,483.0,537.6333333333333
199,477.0,537.7333333333333
200,515.0,537.5333333333333
201,552.0,537.5
202,526.0,537.4666666666667
203,485.0,537.2666666666667
204,480.0,537.2
205,515.0,537.0666666666667
206,546.0,536.8333333333334
207,527.0,536.8666666666667
208,482.0,536.7666666666667
209,480.0,536.7333333333333
210,519.0,536.8
211,555.0,536.8
212,529.0,536.9
213,480.0,537.0666666666667
214,475.0,537.4
215,517.0,537.2666666666667
